assets,assets_check,billsred,capital,cchdufrm,circulation,city,county,diff,diff1,diffA,diffL,fips,id,id_old,liabs_check,loans,name,otherassets,otherliabs,othsec,profits,surpro,totdep,ussec,year,loanAssetRatio
211134,211134,0.0,25000,51347,0.0,atlanta,Steuben,,,0.0,0.0,36101,1022,,211134,70069,atlanta,13703,0.0,36315,8033.0,5000.0,173101,39700.0,1939,0.3318698077997859
353983,353983,0.0,50000,99422,0.0,aurora,Cayuga,,,0.0,0.0,36011,1025,,353983,39285,first,1566,0.0,188781,38963.0,50000.0,215020,24929.0,1939,0.11097990581468602
2143544,2143544,0.0,100000,666590,0.0,babylon,Suffolk,,,0.0,0.0,36103,1026,,2143544,686636,babylon nb and tc,74044,22900.0,571853,80621.0,100000.0,1840023,144421.0,1939,0.32032745770555676
2499459,2499459,0.0,600000,467339,0.0,baldwin,Nassau,,,0.0,0.0,36059,1028,,2499459,1156693,baldwin nb and tc,109178,20774.0,234999,-359519.0,0.0,2238204,531250.0,1939,0.46277734501746176
920192,920192,0.0,99575,296835,0.0,baldwinsville,Onondaga,,,0.0,0.0,36067,1030,,920192,159553,first nb and tc,8761,1.0,296242,12124.0,4000.0,804492,158801.0,1939,0.17339098796772848
3831504,3831504,0.0,200000,719387,0.0,ballston spa,Saratoga,,,0.0,0.0,36091,1032,,3831504,684947,ballston spa,65185,40440.0,987985,210824.0,200000.0,3180240,1374000.0,1939,0.17876713687366633
538567,538567,10000.0,25000,86122,0.0,barker,Niagara,,,0.0,0.0,36063,1033,,538567,322315,somerset,10224,0.0,54623,3620.0,40000.0,459947,65283.0,1939,0.5984677858093793
3602994,3602994,0.0,100000,491847,0.0,batavia,Genesee,,,0.0,0.0,36037,1034,,3602994,772171,first,114876,5000.0,1563617,120050.0,200000.0,3177944,660483.0,1939,0.21431370687822404
1911735,1911735,0.0,100000,283089,0.0,bath,Steuben,,,0.0,0.0,36101,1035,,1911735,1014036,bath,21535,2600.0,457745,36515.0,100000.0,1672620,135330.0,1939,0.5304270727899003
1984074,1984074,0.0,161160,664164,0.0,bay shore,Suffolk,,,0.0,0.0,36103,1036,,1984074,480369,first nb and tc,150826,0.0,287685,20980.0,50000.0,1751934,401030.0,1939,0.24211244137063437
2303204,2303204,0.0,150000,506843,0.0,beacon,Dutchess,,,0.0,0.0,36027,1037,,2303204,438367,fishkill,66665,7536.0,716679,63276.0,123500.0,1958892,574650.0,1939,0.19032921096003655
1662855,1662855,0.0,200000,429247,0.0,beacon,Dutchess,,,0.0,0.0,36027,1038,,1662855,566736,matteawan,150965,0.0,218942,22676.0,20000.0,1420179,296965.0,1939,0.34082105775909505
316346,316346,0.0,25000,51966,0.0,belfast,Allegany,,,0.0,0.0,36003,1039,,316346,89508,first,6874,500.0,156898,9146.0,25000.0,256700,11100.0,1939,0.28294335948613225
1353561,1353561,0.0,148500,209962,0.0,bellerose,Nassau,,,0.0,0.0,36059,1042,,1353561,186257,first,40181,4177.0,397973,34765.0,0.0,1166119,519188.0,1939,0.13760517627207047
1490134,1490134,0.0,50000,662516,0.0,bellmore,Nassau,,,0.0,0.0,36059,1040,,1490134,256907,first,41958,4615.0,58933,31184.0,50000.0,1354335,469820.0,1939,0.1724053004629114
11490992,11490992,0.0,600000,2320495,0.0,binghamton,Broome,,,0.0,0.0,36007,1043,,11490992,4076493,first,872846,61942.0,1269606,353716.0,250000.0,10225334,2951552.0,1939,0.3547555337258959
11205153,11205153,0.0,400000,1736838,0.0,binghamton,Broome,,,0.0,0.0,36007,1044,,11205153,3934506,city,311694,26000.0,1964634,585264.0,400000.0,9793889,3257481.0,1939,0.3511336257523659
271496,271496,0.0,25000,51834,0.0,bliss,Wyoming,,,0.0,0.0,36121,1045,,271496,148841,bliss,13350,0.0,42574,6839.0,15700.0,223957,14897.0,1939,0.5482253882193476
788304,788304,0.0,89000,101485,0.0,bolivar,Allegany,,,0.0,0.0,36003,1046,,788304,314624,first,32805,0.0,211676,13018.0,36000.0,650286,127714.0,1939,0.39911506220950294
392193,392193,0.0,60000,89688,0.0,bolton landing,Warren,,,0.0,0.0,36113,1047,,392193,76857,bolton,24509,0.0,82391,-10201.0,0.0,342394,118748.0,1939,0.19596729161407778
1636191,1636191,0.0,130000,282989,0.0,boonville,Oneida,,,0.0,0.0,36065,1048,,1636191,540364,first,54485,1.0,237553,8104.0,70000.0,1428086,520800.0,1939,0.3302572865881795
1678944,1678944,0.0,148000,248047,0.0,boonville,Oneida,,,0.0,0.0,36065,1049,,1678944,412975,national exchange,36021,388.0,428501,24821.0,87000.0,1418735,553400.0,1939,0.2459730640211943
1023805,1023805,0.0,100000,315510,0.0,brewster,Putnam,,,0.0,0.0,36079,1051,,1023805,149568,first,31613,3010.0,421605,8458.0,34000.0,878337,105509.0,1939,0.1460903199339718
1527002,1527002,0.0,100000,349380,0.0,bridgehampton,Suffolk,,,0.0,0.0,36103,1052,,1527002,383599,bridgehampton,39581,0.0,500567,20473.0,50000.0,1356529,253875.0,1939,0.2512105419639267
4184609,4184609,0.0,200000,1228263,0.0,bronxville,Westchester,,,0.0,0.0,36119,1054,,4184609,2197368,gramatan nb and tc,316327,46183.0,125138,29647.0,100000.0,3808779,317513.0,1939,0.5251071247038851
5181910,5181910,0.0,500000,1008852,0.0,buffalo,Erie,,,0.0,0.0,36029,1600,,5181910,1493705,niagara,312958,11163.0,1470752,89649.0,200000.0,4381098,895643.0,1939,0.2882537519949208
621436,621436,0.0,71000,63586,0.0,cairo,Greene,,,0.0,0.0,36039,1070,,621436,215510,first,21653,97.0,182505,12906.0,15000.0,522433,138182.0,1939,0.3467935555712897
1144105,1144105,35000.0,125000,134748,0.0,caledonia,Livingston,,,0.0,0.0,36051,1071,,1144105,876992,first,43183,0.0,58182,-11678.0,0.0,995783,31000.0,1939,0.7665310439164238
1306501,1306501,0.0,100000,307790,0.0,callicoon,Sullivan,,,0.0,0.0,36105,1616,,1306501,210036,first,26775,4000.0,297180,56272.0,31000.0,1115229,464720.0,1939,0.16076221908747104
889045,889045,0.0,50000,115902,0.0,cambridge,Washington,,,0.0,0.0,36115,1073,,889045,291364,cambridge valley,9064,0.0,329827,17439.0,50000.0,771606,142888.0,1939,0.3277269429556434
1610417,1610417,0.0,100000,454750,0.0,camden,Oneida,,,0.0,0.0,36065,1074,,1610417,135392,first nb and tc,72375,9792.0,37900,23484.0,65000.0,1412141,910000.0,1939,0.08407263460333565
